AMI430_Y_field	ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
1.45	-1510.0	-0.000184746845	9.22387e-05	-2.622	5.929392908911319e-06	0.07652713857832681
1.45	-1505.0	-0.000202496682	9.01227e-05	-2.958	5.7753015789621405e-06	0.07453837366733282
1.45	-1500.0	-0.000200649559	8.86922e-05	-2.712	5.671673103265986e-06	0.0732009027251826
1.45	-1495.0	-0.000206251185	8.77981e-05	-2.634	5.6071237503201836e-06	0.0723678027174903
1.45	-1490.0	-0.000192938384	8.69934e-05	-2.7	5.5491734051590585e-06	0.07161987216828648
1.45	-1485.0	-0.000179991066	8.55331e-05	-2.508	5.444358844762559e-06	0.07026709313817123
1.45	-1480.0	-0.000187201603	8.601e-05	-2.418	5.47853952604399e-06	0.0707082428095304
1.45	-1475.0	-0.000202034901	8.56225e-05	-2.652	5.450762743177022e-06	0.07034974443636206
1.45	-1470.0	-0.000202819365	8.60994e-05	-2.19	5.484952376571966e-06	0.07079100964731222
1.45	-1465.0	-0.000201984781	8.6457e-05	-2.364	5.51062058787504e-06	0.07112229394464659
1.45	-1460.0	-0.000195273756	8.58312e-05	-2.484	5.4657188631233555e-06	0.07054277415817507
1.45	-1455.0	-0.000197173783	8.53245e-05	-2.508	5.429422932091587e-06	0.07007432421961171
1.45	-1450.0	-0.000192293508	8.55927e-05	-2.85	5.448627924100148e-06	0.07032219159952947
1.45	-1445.0	-0.000196706315	8.57119e-05	-3.108	5.457168318332593e-06	0.07043241737525056
1.45	-1440.0	-0.000199956236	8.59504e-05	-2.076	5.4742652255096095e-06	0.07065307696129856
1.45	-1435.0	-0.000189021048	8.55927e-05	-1.872	5.448627924100148e-06	0.07032219159952947
1.45	-1430.0	-0.000179819227	8.51755e-05	-1.902	5.418760005355402e-06	0.06993670418253098
1.45	-1425.0	-0.00020432513	8.64272e-05	-2.97	5.508480542409867e-06	0.07109467365393672
1.45	-1420.0	-0.000209637858	8.78577e-05	-3.24	5.611421284499619e-06	0.07242326842852463
1.45	-1415.0	-0.000202088873	8.89008e-05	-2.982	5.686757366707927e-06	0.07339558631868145
1.45	-1410.0	-0.000186703698	9.01823e-05	-2.784	5.7796286135716e-06	0.07459422012282638
1.45	-1405.0	-0.000193976178	9.16128e-05	-2.37	5.883713301345392e-06	0.07593757912222339
1.45	-1400.0	-0.000188248411	9.35202e-05	-1.8	6.023183954589757e-06	0.07773764367729788
1.45	-1395.0	-0.000176424577	9.64408e-05	-2.46	6.238274575801963e-06	0.08051369006674639
1.45	-1390.0	-0.00017672755	0.000100971	-3.36	6.575629248173271e-06	0.08486772565845173
1.45	-1385.0	-0.000177825687	0.000108183	-4.188	7.12224109531264e-06	0.09192251882483511
1.45	-1380.0	-0.000187829429	0.000118405	-4.056	7.917760660624302e-06	0.10218981548599594
1.45	-1375.0	-0.000194699218	0.000133605	-3.714	9.148048310475547e-06	0.11806840456210035
1.45	-1370.0	-0.000196471953	0.000153483	-3.696	1.0848725451867605e-05	0.14001803031226823
1.45	-1365.0	-0.000170705704	0.000181259	-3.852	1.3417933026702183e-05	0.17317726046218127
1.45	-1360.0	-0.000144330721	0.000211091	-3.744	1.646244805103429e-05	0.21247100043692674
1.45	-1355.0	-0.000114440031	0.000238062	-3.936	1.9509690936856868e-05	0.25179994729330596
1.45	-1350.0	-9.17767422e-05	0.000239224	-3.858	1.9647953314277545e-05	0.253584417352819
1.45	-1345.0	-5.24764287e-05	0.000230909	-3.984	1.8671742054246393e-05	0.24098504073437127
1.45	-1340.0	-0.000139134589	0.000215531	-4.122	1.694365288678034e-05	0.2186816243094575
1.45	-1335.0	-0.000141638345	0.000196249	-4.116	1.4908071769363292e-05	0.19240959264397595
1.45	-1330.0	-0.000126430009	0.000174672	-4.044	1.2786915784346484e-05	0.16503309719067788
1.45	-1325.0	-0.000171544813	0.00015399	-3.936	1.0893540922306174e-05	0.14059643686575382
1.45	-1320.0	-0.00019563003	0.000136913	-3.528	9.423642701543821e-06	0.12162533703068318
1.45	-1315.0	-0.000194938486	0.000126273	-3.306	8.547327016533865e-06	0.11031525303130264
1.45	-1310.0	-0.000171142164	0.000117869	-2.604	7.875425951368034e-06	0.10164342663781242
1.45	-1305.0	-0.000182197858	0.00011158	-1.89	7.383863860619767e-06	0.09529912785099924
1.45	-1300.0	-0.000182802677	0.000106335	-1.794	6.981043042275769e-06	0.09010015975068725
1.45	-1295.0	-0.000187560208	0.000103027	-2.376	6.7302504169852834e-06	0.0868633288837054
1.45	-1290.0	-0.000200349876	0.00010106	-2.802	6.582302756991889e-06	0.08495385665736033
1.45	-1285.0	-0.000204721022	9.95402e-05	-3.03	6.468586928202439e-06	0.0834861942639236
1.45	-1280.0	-0.000195229181	9.84375e-05	-2.88	6.386402599375718e-06	0.08242549013827238
