ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
1746.6666666666667	-0.000233186065	6.18403e-05	-2.202	3.804306153913375e-06	0.04909991102080036
1740.0	-0.000237227233	6.24065e-05	-2.274	3.8422158833236694e-06	0.049589189292727376
1733.3333333333333	-0.000245044888	6.50887e-05	-2.118	4.022630904621914e-06	0.05191769839114662
1726.6666666666665	-0.000241922782	6.6251e-05	-1.914	4.101239591224452e-06	0.052932253834765755
1720.0	-0.00022788513	6.83372e-05	-0.906	4.242988029020652e-06	0.05476171639680785
1713.3333333333333	-0.000218767161	7.07512e-05	-1.266	4.4080668129505595e-06	0.05689228982451231
1706.6666666666665	-0.000216238615	7.27777e-05	-1.752	4.547531205192059e-06	0.058692273572556256
1700.0	-0.000221422415	7.52513e-05	-1.998	4.71887005852357e-06	0.06090364198314782
1693.3333333333333	-0.000223065688	8.02283e-05	-2.226	5.067343270577997e-06	0.06540117793655796
1686.6666666666665	-0.000217096856	8.63378e-05	-2.874	5.502061527704255e-06	0.07101182725878985
1680.0	-0.000199119967	9.76031e-05	-2.664	6.324394225046962e-06	0.08162518502640474
1673.3333333333333	-0.000180947665	0.000116617	-3.288	7.776810841302004e-06	0.1003706602163803
1666.6666666666665	-0.000182400585	0.000138969	-3.492	9.59639038022341e-06	0.12385488830995983
1660.0	-0.000188853145	0.000155003	-3.384	1.0983305286236554e-05	0.14175497198451303
1653.3333333333333	-0.000255295312	0.000156046	-3.0	1.10760382363758e-05	0.14295182087530212
1646.6666666666665	-0.000263712157	0.000132025	-2.796	9.01742692341135e-06	0.11638255220879587
1640.0	-0.000242763527	0.000100971	-1.932	6.575629248173271e-06	0.08486772565845173
1633.3333333333333	-0.000239922996	7.62348e-05	-1.824	4.787334312128021e-06	0.061787269279186055
1626.6666666666665	-0.00024525772	6.19893e-05	-0.792	3.8142765082323267e-06	0.04922859243867279
1620.0	-0.000245663751	5.72207e-05	-1.44	3.4972571740022864e-06	0.045137012930394654
