time	field_x	field_y	field_z	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
162.37651896476746	0.25723	-1.55478	0.0	-0.000169188525	0.000131489	-3.936	1.7341446673729632e-05	0.22381571151317683
163.24651885032654	0.2572	-1.55466	1e-05	-0.000177129173	0.000129105	-3.66	1.6904785069497522e-05	0.21817998056866758
164.12851881980896	0.25719	-1.55452	1e-05	-0.000144771168	0.000131936	-3.696	1.742402476746674e-05	0.2248814977277244
165.0195188522339	0.25717	-1.55439	-1e-05	-0.000156397578	0.000127376	-4.536	1.659199790467567e-05	0.2141430231472983
165.88851881027222	0.25715	-1.55426	0.0	-0.00015672642	0.000132681	-3.474	1.756215436763571e-05	0.2266642541104247
166.75751876831055	0.25713	-1.55414	0.0	-0.000156130598	0.000130207	-3.654	1.710584927185174e-05	0.22077499633386963
167.76351881027222	0.2571	-1.55399	0.0	-0.00015346186	0.000132264	-3.504	1.7484761767648622e-05	0.22566539397159874
168.6405189037323	0.25707	-1.55387	-1e-05	-0.000139610956	0.000133068	-4.224	1.7634155165451076e-05	0.2275935254737519
169.51051878929138	0.25706	-1.55374	-0.0	-0.000161882781	0.000132532	-3.864	1.7534478344692647e-05	0.22630705618551109
170.3815188407898	0.25702	-1.55361	-1e-05	-0.000152656466	0.000133366	-3.93	1.7689713501098894e-05	0.22831058378252275
171.2875189781189	0.25701	-1.55349	2e-05	-0.000182298904	0.000132293	-3.996	1.7490137636780056e-05	0.22573477710884737
172.15651893615723	0.25699	-1.55335	-0.0	-0.000163996236	0.000130505	-4.692	1.7160450746688965e-05	0.22147970501073422
173.1335186958313	0.25696	-1.55322	1e-05	-0.000159263456	0.000130565	-5.16	1.717145623725893e-05	0.22162174631494674
174.01451873779297	0.25695	-1.55309	1e-05	-0.000163535017	0.000134201	-4.368	1.7845928164979295e-05	0.230326753298423
174.91051864624023	0.25692	-1.55296	2e-05	-0.000170785127	0.000134916	-3.87	1.7980328345827555e-05	0.23206137628980364
175.77951884269714	0.2569	-1.55283	-1e-05	-0.000168015435	0.000133247	-3.264	1.7667515343346134e-05	0.22802408539716934
176.64851880073547	0.25688	-1.55271	-1e-05	-0.000139391201	0.00013134	-4.992	1.731397038380926e-05	0.2234610914232863
177.53651881217957	0.25685	-1.55258	-0.0	-0.000146982019	0.000133009	-4.926	1.7623167327705698e-05	0.22745171200401995
178.52951884269714	0.25683	-1.55243	2e-05	-0.000164692801	0.000133992	-4.458	1.780675291298616e-05	0.22982114168115036
179.39851880073547	0.2568	-1.5523	1e-05	-0.00017862366	0.000132234	-4.212	1.7479201521259386e-05	0.22559363118702777
180.2695188522339	0.25679	-1.55217	-0.0	-0.000166254935	0.000132234	-3.882	1.7479201521259386e-05	0.22559363118702777
181.17251896858215	0.25677	-1.55205	0.0	-0.000161620703	0.000132502	-5.142	1.7528909026033075e-05	0.2262351763105567
182.04351902008057	0.25673	-1.55193	0.0	-0.00017171532	0.000131548	-3.312	1.73523334126799e-05	0.2239562201610455
182.9125189781189	0.25672	-1.55179	0.0	-0.00018274477	0.000135601	-3.942	1.810964307447825e-05	0.23373036438212547
183.7875189781189	0.2567	-1.55167	0.0	-0.00016483633	0.000133664	-3.516	1.7745372946721127e-05	0.22902894705744148
184.79951882362366	0.25667	-1.55154	1e-05	-0.000160670647	0.0001328	-4.356	1.7584276077667698e-05	0.22694976583063187
185.6705186367035	0.25666	-1.5514	-1e-05	-0.000183246074	0.000133694	-4.848	1.775098185911154e-05	0.22910133794507007
186.54051876068115	0.25664	-1.55127	-0.0	-0.000180710733	0.000136257	-4.056	1.823399430615635e-05	0.23533529157875527
187.42651867866516	0.25662	-1.55114	2e-05	-0.00017206343	0.000134618	-3.936	1.7924241072265892e-05	0.23133749129478448
188.31451869010925	0.25659	-1.55102	1e-05	-0.000163688115	0.000135691	-4.11	1.8126673788064665e-05	0.23395016964697082
189.29551887512207	0.25656	-1.55086	1e-05	-0.000181880395	0.00013435	-4.47	1.787388752769129e-05	0.23068760812077874
190.1645188331604	0.25654	-1.55073	-0.0	-0.000187077329	0.000134886	-4.992	1.7974677338054684e-05	0.23198844210217515
191.06451892852783	0.25652	-1.55062	0.0	-0.000166817697	0.000138224	-4.14	1.8609887007215583e-05	0.24018671452650914
191.9385187625885	0.2565	-1.55049	-0.0	-0.000158927274	0.000135125	-4.716	1.8019725892834724e-05	0.2325698569362679
192.80851888656616	0.25649	-1.55036	-1e-05	-0.000151615137	0.000133813	-5.058	1.777324067206607e-05	0.22938861917094405
193.68151879310608	0.25645	-1.55024	-1e-05	-0.000188123597	0.000134737	-4.632	1.7946626057147568e-05	0.2316264009464858
194.58651876449585	0.25644	-1.55011	-0.0	-0.000172254908	0.000134886	-3.522	1.7974677338054684e-05	0.23198844210217515
195.4565188884735	0.25641	-1.54997	1e-05	-0.000165994205	0.000135721	-3.666	1.813235278587568e-05	0.2340234650853312
196.32551884651184	0.25639	-1.54985	2e-05	-0.000152511063	0.000136168	-3.66	1.8217094049436447e-05	0.23511717004289456
197.20451879501343	0.25636	-1.54972	-0.0	-0.000150519171	0.000135631	-4.458	1.811531893265532e-05	0.23380361929910268
198.10051894187927	0.25634	-1.54959	0.0	-0.000162011539	0.00013429	-4.62	1.7862625658341267e-05	0.23054225788853067
198.9695188999176	0.25633	-1.54946	1e-05	-0.000159191804	0.000134976	-3.996	1.7991633479834077e-05	0.23220728491317444
199.947518825531	0.2563	-1.54932	-0.0	-0.000149055516	0.000133038	-3.738	1.762856763551215e-05	0.22752141055667427
200.84051895141602	0.25627	-1.5492	1e-05	-0.000167134746	0.000133456	-2.916	1.7706512731107632e-05	0.22852740142686465
201.7235188484192	0.25625	-1.54907	-2e-05	-0.000169899857	0.000135452	-4.416	1.808146847151483e-05	0.23336673158219237
202.59351873397827	0.25623	-1.54894	-2e-05	-0.000159756223	0.000137121	-3.39	1.8398542241815013e-05	0.23745901366436759
203.4625186920166	0.25622	-1.54881	-1e-05	-0.00017455435	0.000139237	-4.524	1.8805262792030955e-05	0.24270831327854067
204.36551880836487	0.25619	-1.54868	1e-05	-0.000176315911	0.000136645	-3.504	1.8307780128517985e-05	0.236287601189491
205.3465187549591	0.25617	-1.54854	-1e-05	-0.000163680465	0.000135601	-3.822	1.810964307447825e-05	0.23373036438212547
206.21651887893677	0.25614	-1.54841	0.0	-0.000156229863	0.000132323	-5.112	1.7495699878518947e-05	0.2258065656462065
207.09251880645752	0.25612	-1.54828	0.0	-0.00016843128	0.000137062	-5.166	1.8387277841162148e-05	0.23731363076210318
